Line,Location
"Gross:1,62",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC102,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:45,35",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC104,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:1,78",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC105,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:0,88",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FC117,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:50,95",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FD135,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:26,86",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FD118,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:35,56",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FD115,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:66,65",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
